height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
208,112,*,1990,*,*,*,*,2015,24,73.0,32.0,1399.0,14.5,8.9,19.4,13.9,121.0,238.0,359.0,586.0,2,1
208,112,*,1990,*,*,*,*,2016,25,14.0,4.0,263.0,13.9,8.8,22.2,15.4,21.0,51.0,72.0,91.0,3,1
196,83,*,1984,*,*,*,*,2010,22,35.0,13.0,768.0,14.6,2.2,11.0,6.5,15.0,73.0,88.0,329.0,0,1
196,83,*,1984,*,*,*,*,2011,23,61.0,1.0,784.0,11.3,2.3,15.6,8.9,16.0,106.0,122.0,298.0,1,1
196,83,*,1984,*,*,*,*,2012,24,32.0,8.0,620.0,8.2,1.7,13.4,7.5,9.0,71.0,80.0,189.0,2,1
196,83,*,1984,*,*,*,*,2015,27,24.0,13.0,628.0,8.0,1.4,14.0,7.8,7.0,75.0,82.0,175.0,5,2
211,106,*,1984,*,*,*,*,2010,25,33.0,0.0,335.0,6.9,9.2,19.2,14.1,27.0,54.0,81.0,71.0,3,1
211,106,*,1984,*,*,*,*,2011,26,53.0,2.0,488.0,8.8,9.5,21.6,15.4,42.0,89.0,131.0,92.0,4,1
211,106,*,1984,*,*,*,*,2014,29,15.0,1.0,97.0,17.0,21.8,31.0,26.5,19.0,28.0,47.0,25.0,7,1
203,93,*,1991,*,*,*,*,2014,22,77.0,41.0,1742.0,9.5,4.4,11.2,7.7,73.0,174.0,247.0,461.0,0,2
203,93,*,1991,*,*,*,*,2015,23,71.0,23.0,1776.0,10.9,3.1,9.3,6.0,53.0,145.0,198.0,626.0,1,2
203,93,*,1991,*,*,*,*,2016,24,77.0,17.0,2154.0,9.2,2.6,11.4,6.9,54.0,218.0,272.0,758.0,2,2
203,93,*,1991,*,*,*,*,2017,25,31.0,1.0,561.0,9.0,2.9,13.4,8.1,15.0,68.0,83.0,171.0,3,2
190,79,*,1991,*,*,*,*,2014,22,23.0,0.0,172.0,9.2,1.9,11.1,6.4,3.0,16.0,19.0,68.0,0,1
190,79,*,1991,*,*,*,*,2015,23,30.0,0.0,192.0,8.8,2.4,7.1,4.8,4.0,12.0,16.0,57.0,1,1
190,79,*,1991,*,*,*,*,2016,24,66.0,1.0,578.0,11.5,2.6,9.7,6.3,13.0,55.0,68.0,236.0,2,1
190,79,*,1991,*,*,*,*,2017,25,77.0,0.0,1137.0,13.1,2.3,9.1,5.9,22.0,100.0,122.0,527.0,3,1
211,113,*,1986,*,*,*,*,2010,23,26.0,0.0,165.0,21.6,9.4,27.2,18.5,13.0,39.0,52.0,101.0,2,1
211,113,*,1986,*,*,*,*,2011,24,56.0,0.0,488.0,13.7,10.7,17.8,14.4,43.0,77.0,120.0,173.0,3,1
211,113,*,1986,*,*,*,*,2012,25,61.0,12.0,1139.0,13.5,10.7,17.7,14.3,108.0,181.0,289.0,354.0,4,1
211,113,*,1986,*,*,*,*,2013,26,80.0,2.0,1322.0,10.6,9.9,16.2,13.1,115.0,196.0,311.0,402.0,5,1
211,113,*,1986,*,*,*,*,2014,27,77.0,1.0,1248.0,10.2,10.1,12.9,11.6,107.0,150.0,257.0,272.0,6,1
211,113,*,1986,*,*,*,*,2015,28,61.0,6.0,1146.0,10.8,10.2,24.0,17.2,105.0,251.0,356.0,265.0,7,2
211,113,*,1986,*,*,*,*,2016,29,71.0,71.0,1816.0,16.6,8.3,22.1,15.3,138.0,369.0,507.0,660.0,8,2
211,113,*,1986,*,*,*,*,2017,30,31.0,0.0,555.0,14.1,9.6,20.8,15.2,47.0,103.0,150.0,173.0,9,2
203,113,*,1983,*,*,*,*,2011,27,36.0,0.0,470.0,13.7,10.3,18.3,14.3,41.0,74.0,115.0,207.0,5,1
203,113,*,1983,*,*,*,*,2012,28,2.0,0.0,14.0,-2.9,0.0,8.0,4.1,0.0,1.0,1.0,2.0,6,1
196,99,*,1990,*,*,*,*,2012,21,59.0,35.0,1705.0,10.8,2.8,9.9,6.3,42.0,144.0,186.0,563.0,0,3
196,99,*,1990,*,*,*,*,2013,22,45.0,45.0,996.0,11.7,3.5,12.8,8.0,31.0,105.0,136.0,305.0,1,2
196,99,*,1990,*,*,*,*,2014,23,74.0,58.0,1962.0,9.6,4.7,14.0,9.2,81.0,227.0,308.0,495.0,2,2
196,99,*,1990,*,*,*,*,2015,24,24.0,24.0,625.0,11.9,4.0,11.2,7.5,22.0,59.0,81.0,224.0,3,2
196,99,*,1990,*,*,*,*,2016,25,54.0,5.0,1316.0,8.4,2.8,14.6,8.7,32.0,171.0,203.0,311.0,4,2
