height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
216,117,*,1993,*,*,*,*,2017,23,78.0,33.0,1560.0,14.2,8.0,26.0,20.5,155.0,350.0,508.0,611.0,3,1
201,107,*,1993,*,*,*,*,2017,23,1.0,0.0,160.0,14.1,7.0,13.5,15.7,5.0,15.0,26.0,63.0,0,1
208,122,*,1987,*,*,*,*,2016,28,8.0,0.0,73.0,13.9,27.2,15.8,22.0,18.0,7.0,27.0,20.0,0,1
198,86,*,1988,*,*,*,*,2013,24,74.0,18.0,1834.0,13.6,0.0,8.4,5.1,41.0,132.0,170.0,665.0,0,2
198,86,*,1988,*,*,*,*,2014,25,65.0,0.0,664.0,11.9,0.0,6.4,7.2,18.0,69.0,81.0,243.0,1,1
198,86,*,1988,*,*,*,*,2015,26,18.0,3.0,286.0,15.9,2.7,5.7,2.4,7.0,15.0,21.0,167.0,2,3
218,112,*,1988,*,*,*,*,2010,21,3.0,0.0,29.0,6.8,4.7,12.8,9.6,1.0,3.0,4.0,11.0,1,1
218,112,*,1988,*,*,*,*,2011,22,32.0,2.0,341.0,16.3,5.6,25.1,13.5,18.0,62.0,75.0,143.0,2,1
218,112,*,1988,*,*,*,*,2014,25,57.0,34.0,951.0,16.6,12.8,25.0,17.8,95.0,183.0,277.0,325.0,5,1
218,112,*,1988,*,*,*,*,2015,26,69.0,6.0,958.0,18.1,11.1,24.5,14.9,106.0,224.0,316.0,441.0,6,1
218,112,*,1988,*,*,*,*,2016,27,63.0,17.0,859.0,13.5,8.2,28.5,15.5,78.0,191.0,269.0,352.0,7,1
218,112,*,1988,*,*,*,*,2017,28,41.0,20.0,577.0,14.1,13.8,24.8,14.8,47.0,129.0,177.0,207.0,8,1
198,95,*,1992,*,*,*,*,2014,21,12.0,0.0,103.0,6.7,3.6,9.3,4.9,2.0,7.0,11.0,35.0,0,1
198,95,*,1992,*,*,*,*,2015,22,50.0,3.0,685.0,8.5,0.5,9.9,6.2,3.0,66.0,73.0,159.0,1,2
198,95,*,1992,*,*,*,*,2016,23,81.0,2.0,2105.0,12.2,0.5,12.4,5.9,29.0,184.0,209.0,830.0,2,2
198,95,*,1992,*,*,*,*,2017,24,80.0,0.0,2260.0,11.7,0.7,7.7,6.7,16.0,207.0,224.0,842.0,3,2
198,102,*,1987,*,*,*,*,2010,22,13.0,0.0,181.0,14.0,8.7,9.2,12.4,16.0,17.0,32.0,82.0,0,1
198,102,*,1987,*,*,*,*,2011,23,57.0,29.0,1118.0,10.6,5.5,11.9,10.2,62.0,120.0,182.0,330.0,1,1
198,102,*,1987,*,*,*,*,2012,24,63.0,27.0,1828.0,13.7,6.0,10.9,12.3,99.0,216.0,321.0,667.0,2,2
198,102,*,1987,*,*,*,*,2013,25,88.0,78.0,2540.0,12.4,1.7,11.9,6.3,82.0,242.0,320.0,842.0,3,1
198,102,*,1987,*,*,*,*,2014,26,65.0,25.0,1021.0,9.7,0.6,7.1,7.4,34.0,118.0,150.0,257.0,4,1
198,102,*,1987,*,*,*,*,2015,27,14.0,0.0,150.0,10.5,3.8,10.3,8.3,3.0,13.0,26.0,40.0,5,2
198,102,*,1987,*,*,*,*,2016,28,71.0,39.0,1630.0,8.7,1.7,13.5,7.7,61.0,188.0,245.0,327.0,6,3
198,102,*,1987,*,*,*,*,2017,29,8.0,0.0,96.0,8.4,7.6,12.4,7.3,8.0,6.0,17.0,7.0,7,1
208,111,*,1982,*,*,*,*,2010,27,84.0,82.0,2836.0,21.0,11.4,16.8,15.7,231.0,501.0,729.0,1898.0,7,1
208,111,*,1982,*,*,*,*,2011,28,86.0,66.0,2868.0,23.7,10.9,18.9,14.2,206.0,440.0,636.0,1968.0,8,1
208,111,*,1982,*,*,*,*,2012,29,52.0,48.0,1540.0,19.3,5.2,16.5,13.2,105.0,258.0,370.0,824.0,9,2
208,111,*,1982,*,*,*,*,2013,30,30.0,0.0,691.0,18.1,8.4,15.5,12.3,56.0,82.0,147.0,416.0,10,2
208,111,*,1982,*,*,*,*,2014,31,64.0,21.0,1464.0,18.0,10.1,25.6,11.4,111.0,211.0,319.0,773.0,11,2
208,111,*,1982,*,*,*,*,2015,32,35.0,9.0,868.0,21.5,10.3,28.1,20.2,86.0,163.0,248.0,433.0,12,2
208,111,*,1982,*,*,*,*,2016,33,54.0,39.0,763.0,14.3,4.7,18.8,24.1,65.0,156.0,222.0,300.0,13,2
206,108,*,1987,*,*,*,*,2010,22,91.0,3.0,1455.0,16.8,13.5,20.9,13.4,153.0,244.0,395.0,512.0,4,1
206,108,*,1987,*,*,*,*,2011,23,72.0,58.0,1854.0,16.5,17.5,25.6,12.1,191.0,277.0,460.0,685.0,5,2
206,108,*,1987,*,*,*,*,2012,24,63.0,40.0,1556.0,18.3,10.9,20.2,13.5,147.0,260.0,411.0,450.0,6,2
206,108,*,1987,*,*,*,*,2013,25,87.0,37.0,2322.0,16.4,10.3,19.7,15.6,225.0,384.0,610.0,808.0,7,1
206,108,*,1987,*,*,*,*,2014,26,76.0,72.0,2215.0,10.3,9.5,20.7,10.5,171.0,331.0,502.0,799.0,8,1
206,108,*,1987,*,*,*,*,2015,27,76.0,68.0,1981.0,15.9,4.3,18.3,9.4,153.0,299.0,455.0,692.0,9,2
206,108,*,1987,*,*,*,*,2016,28,79.0,74.0,1799.0,16.5,10.4,18.5,11.2,180.0,324.0,507.0,573.0,10,1
206,108,*,1987,*,*,*,*,2017,29,80.0,78.0,1607.0,14.3,8.3,14.3,11.5,113.0,246.0,366.0,517.0,11,3
208,123,*,1982,*,*,*,*,2010,27,78.0,7.0,2166.0,14.7,11.2,23.1,17.1,189.0,389.0,578.0,651.0,5,1
208,123,*,1982,*,*,*,*,2011,28,29.0,35.0,1004.0,15.7,12.9,25.0,25.2,97.0,207.0,308.0,280.0,6,3
208,123,*,1982,*,*,*,*,2012,29,26.0,25.0,777.0,17.9,15.1,26.8,23.5,110.0,174.0,289.0,264.0,7,2
208,123,*,1982,*,*,*,*,2013,30,24.0,21.0,901.0,22.9,17.1,29.5,22.7,136.0,223.0,361.0,355.0,8,3
208,123,*,1982,*,*,*,*,2014,31,65.0,29.0,1793.0,16.7,10.8,27.6,21.5,184.0,442.0,628.0,546.0,9,2
208,123,*,1982,*,*,*,*,2015,32,13.0,26.0,637.0,15.8,10.4,18.8,16.4,57.0,114.0,170.0,254.0,10,3
208,123,*,1982,*,*,*,*,2016,33,26.0,0.0,310.0,11.3,9.8,26.0,16.8,27.0,69.0,90.0,78.0,11,2
